Filename,NP_1protein_02XG_phi025_pH3_Time0_REP1
Instrument name,5333-0043
Operator,Harrison
rundate,1/19/2023
Sample name,NP_1protein_02XG_phi025_pH3_Time0_REP1
Geometry name,40mm parallel plate, Peltier plate Steel  - 104209
Procedure name,Sample
,Creep-recovery
proceduresegments,Creep-recovery
[step]
Creep - 1
Torque,Displacement,Step time,Temperature,Axial force,Gap,Compliance,Strain,Stress
µN.m,rad,s,°C,N,µm,1/MPa,%,MPa
1.25664,0.00000,0.00000,25.01,0.0980225,600.164,0.00000,0.00000,1.00000e-7
1.25664,-4.90078e-8,5.44000e-4,25.01,0.0978088,600.164,-16.3315,-1.63315e-4,1.00000e-7
1.25664,-9.72841e-8,1.56800e-3,25.01,0.0970345,600.164,-32.4192,-3.24192e-4,1.00000e-7
1.25664,-1.09719e-7,2.59200e-3,25.01,0.0965958,600.164,-36.5630,-3.65630e-4,1.00000e-7
1.25664,-1.75550e-8,3.61600e-3,25.01,0.0946426,600.164,-5.85007,-5.85007e-5,1.00000e-7
1.25664,1.49949e-7,4.64000e-3,25.01,0.0946007,600.164,49.9694,4.99694e-4,1.00000e-7
1.25664,3.82553e-7,5.66400e-3,25.01,0.0953674,600.164,127.483,1.27483e-3,1.00000e-7
1.25664,6.77331e-7,6.68800e-3,25.01,0.0954285,600.164,225.715,2.25715e-3,1.00000e-7
1.25664,1.03757e-6,7.71200e-3,25.01,0.0966377,600.164,345.764,3.45764e-3,1.00000e-7
1.25664,1.44829e-6,8.73600e-3,25.01,0.0953865,600.164,482.631,4.82631e-3,1.00000e-7
1.25664,1.87766e-6,9.76000e-3,25.01,0.0953789,600.164,625.714,6.25714e-3,1.00000e-7
1.25664,2.33665e-6,0.0107840,25.01,0.0963783,600.164,778.669,7.78669e-3,1.00000e-7
1.25664,2.86220e-6,0.0118080,25.01,0.0963249,600.164,953.806,9.53806e-3,1.00000e-7
1.25664,3.40458e-6,0.0128320,25.01,0.0962715,600.164,1134.55,0.0113455,1.00000e-7
1.25664,3.98901e-6,0.0138560,25.01,0.0965843,600.164,1329.31,0.0132931,1.00000e-7
1.25664,4.63599e-6,0.0148800,25.01,0.0969276,600.164,1544.91,0.0154491,1.00000e-7
1.25664,5.39926e-6,0.0159040,25.01,0.0972672,600.164,1799.26,0.0179926,1.00000e-7
1.25664,6.20716e-6,0.0169280,25.01,0.0968971,600.164,2068.49,0.0206849,1.00000e-7
1.25664,6.99860e-6,0.0179520,25.01,0.0976410,600.164,2332.23,0.0233223,1.00000e-7
1.25664,7.78455e-6,0.0189760,25.01,0.0982475,600.164,2594.14,0.0259414,1.00000e-7
1.25664,8.52515e-6,0.0200000,25.01,0.0974693,600.164,2840.94,0.0284094,1.00000e-7
1.25664,9.32062e-6,0.0210240,25.01,0.0983200,600.164,3106.02,0.0310602,1.00000e-7
1.25664,1.02031e-5,0.0220480,25.01,0.0989609,600.164,3400.11,0.0340011,1.00000e-7
1.25664,1.11376e-5,0.0230720,25.01,0.0982208,600.164,3711.51,0.0371151,1.00000e-7
1.25664,1.21049e-5,0.0240960,25.01,0.0988121,600.164,4033.87,0.0403387,1.00000e-7
1.25664,1.31769e-5,0.0251200,25.01,0.101032,600.164,4391.09,0.0439109,1.00000e-7
1.25664,1.43051e-5,0.0261440,25.01,0.100761,600.164,4767.08,0.0476708,1.00000e-7
1.25664,1.54301e-5,0.0271680,25.01,0.0998688,600.164,5141.97,0.0514197,1.00000e-7
1.25664,1.65997e-5,0.0281920,25.01,0.0998573,600.164,5531.73,0.0553173,1.00000e-7
1.25664,1.78074e-5,0.0292160,25.01,0.100243,600.164,5934.17,0.0593417,1.00000e-7
1.25664,1.90443e-5,0.0302400,25.01,0.0992584,600.164,6346.35,0.0634635,1.00000e-7
1.25664,2.02815e-5,0.0312640,25.01,0.100101,600.164,6758.66,0.0675866,1.00000e-7
1.25664,2.15129e-5,0.0322880,25.01,0.102104,600.164,7169.02,0.0716902,1.00000e-7
1.25664,2.27817e-5,0.0333120,25.01,0.101757,600.164,7591.81,0.0759181,1.00000e-7
1.25664,2.41177e-5,0.0343360,25.01,0.100407,600.164,8037.03,0.0803703,1.00000e-7
1.25664,2.54665e-5,0.0353600,25.01,0.100372,600.164,8486.51,0.0848651,1.00000e-7
1.25664,2.68478e-5,0.0363840,25.01,0.0987587,600.164,8946.83,0.0894683,1.00000e-7
1.25664,2.82449e-5,0.0374080,25.01,0.0993233,600.164,9412.40,0.0941240,1.00000e-7
1.25664,2.97122e-5,0.0384320,25.01,0.0986900,600.164,9901.37,0.0990137,1.00000e-7
1.25664,3.11357e-5,0.0394560,25.01,0.0985336,600.164,10375.7,0.103757,1.00000e-7
1.25664,3.26095e-5,0.0404800,25.01,0.0990334,600.164,10866.9,0.108669,1.00000e-7
1.25664,3.49195e-5,0.0420160,25.01,0.0985909,600.164,11636.6,0.116366,1.00000e-7
1.25664,3.80516e-5,0.0440640,25.01,0.0992584,600.164,12680.4,0.126804,1.00000e-7
1.25664,4.12077e-5,0.0461120,25.01,0.0992279,600.164,13732.1,0.137321,1.00000e-7
1.25664,4.45204e-5,0.0481600,25.01,0.100117,600.121,14837.2,0.148372,1.00000e-7
1.25664,4.79764e-5,0.0502080,25.01,0.100975,600.121,15988.9,0.159889,1.00000e-7
1.25664,5.14367e-5,0.0522560,25.01,0.0991249,600.121,17142.1,0.171421,1.00000e-7
1.25664,5.50481e-5,0.0543040,25.01,0.0995026,600.121,18345.7,0.183457,1.00000e-7
1.25664,5.86910e-5,0.0563520,25.01,0.0979996,600.121,19559.7,0.195597,1.00000e-7
1.25664,6.23830e-5,0.0584000,25.01,0.0975609,600.121,20790.2,0.207901,1.00000e-7
1.25664,6.62846e-5,0.0604480,25.01,0.0975342,600.121,22090.4,0.220904,1.00000e-7
1.25664,7.03362e-5,0.0624960,25.01,0.0962372,600.121,23440.7,0.234407,1.00000e-7
1.25664,7.44638e-5,0.0645440,25.01,0.0978851,600.121,24816.3,0.248163,1.00000e-7
1.25664,7.86869e-5,0.0665920,25.01,0.0988426,600.121,26223.7,0.262237,1.00000e-7
1.25664,8.28006e-5,0.0686400,25.01,0.0997276,600.121,27594.6,0.275946,1.00000e-7
1.25664,8.69292e-5,0.0706880,25.01,0.102497,600.121,28970.5,0.289705,1.00000e-7
1.25664,9.11901e-5,0.0727360,25.01,0.102634,600.121,30390.6,0.303906,1.00000e-7
1.25664,9.54166e-5,0.0747840,25.01,0.106628,600.121,31799.1,0.317991,1.00000e-7
1.25664,9.95452e-5,0.0768320,25.01,0.105404,600.121,33175.0,0.331750,1.00000e-7
1.25664,1.03788e-4,0.0788800,25.01,0.104908,600.121,34589.1,0.345891,1.00000e-7
1.25664,1.08079e-4,0.0809280,25.01,0.105495,600.121,36019.2,0.360192,1.00000e-7
1.25664,1.12244e-4,0.0829760,25.01,0.103340,600.121,37407.1,0.374071,1.00000e-7
1.25664,1.16445e-4,0.0850240,25.01,0.100452,600.121,38807.2,0.388072,1.00000e-7
1.25664,1.20625e-4,0.0870720,25.01,0.100208,600.121,40200.4,0.402004,1.00000e-7
1.25664,1.24797e-4,0.0891200,25.01,0.0969772,600.121,41590.5,0.415905,1.00000e-7
1.25664,1.28882e-4,0.0911680,25.01,0.0947800,600.121,42951.9,0.429519,1.00000e-7
1.25664,1.32819e-4,0.0932160,25.01,0.0944748,600.121,44264.2,0.442642,1.00000e-7
1.25664,1.36708e-4,0.0952640,25.01,0.0936775,600.121,45560.1,0.455601,1.00000e-7
1.25664,1.40698e-4,0.0973120,25.01,0.0945091,600.121,46889.8,0.468898,1.00000e-7
1.25664,1.44724e-4,0.0993600,25.01,0.0962257,600.121,48231.7,0.482317,1.00000e-7
1.25664,1.48734e-4,0.101408,25.01,0.0960312,600.121,49568.0,0.495680,1.00000e-7
1.25664,1.52733e-4,0.103456,25.01,0.0953789,600.121,50900.6,0.509006,1.00000e-7
1.25664,1.56572e-4,0.105504,25.01,0.0990944,600.121,52180.1,0.521800,1.00000e-7
1.25664,1.60334e-4,0.107552,25.01,0.100445,600.121,53433.8,0.534338,1.00000e-7
1.25664,1.64205e-4,0.109600,25.01,0.100285,600.121,54724.0,0.547240,1.00000e-7
1.25664,1.68126e-4,0.111648,25.01,0.103836,600.121,56030.7,0.560307,1.00000e-7
1.25664,1.71896e-4,0.113696,25.01,0.103436,600.121,57287.1,0.572871,1.00000e-7
1.25664,1.75651e-4,0.115744,25.01,0.102985,600.121,58538.6,0.585386,1.00000e-7
1.25664,1.79290e-4,0.117792,25.01,0.105663,600.121,59751.2,0.597512,1.00000e-7
1.25664,1.82842e-4,0.119840,25.01,0.102394,600.121,60935.1,0.609351,1.00000e-7
1.25664,1.86336e-4,0.121888,25.01,0.101776,600.121,62099.6,0.620996,1.00000e-7
1.25664,1.91301e-4,0.124960,25.01,0.100910,600.121,63754.1,0.637541,1.00000e-7
1.25664,1.97458e-4,0.129056,25.01,0.101448,600.121,65806.1,0.658061,1.00000e-7
1.25664,2.03056e-4,0.133152,25.01,0.102444,600.121,67671.6,0.676716,1.00000e-7
1.25664,2.08286e-4,0.137248,25.01,0.102596,600.121,69414.5,0.694145,1.00000e-7
1.25664,2.13142e-4,0.141344,25.01,0.100796,600.121,71033.2,0.710332,1.00000e-7
1.25664,2.17410e-4,0.145440,25.01,0.0978889,600.121,72455.3,0.724553,1.00000e-7
1.25664,2.21702e-4,0.149536,25.01,0.0988770,600.121,73885.7,0.738857,1.00000e-7
1.25664,2.25412e-4,0.153632,25.01,0.100887,600.121,75122.3,0.751223,1.00000e-7
1.25664,2.28663e-4,0.157728,25.01,0.101254,600.121,76205.7,0.762057,1.00000e-7
1.25664,2.31294e-4,0.161824,25.01,0.104004,600.121,77082.4,0.770824,1.00000e-7
1.25664,2.33692e-4,0.165920,25.01,0.103409,600.121,77881.7,0.778817,1.00000e-7
1.25664,2.35417e-4,0.170016,25.01,0.101551,600.121,78456.6,0.784566,1.00000e-7
1.25664,2.36683e-4,0.174112,25.01,0.100212,600.121,78878.5,0.788785,1.00000e-7
1.25664,2.37496e-4,0.178208,25.01,0.0992165,600.121,79149.2,0.791492,1.00000e-7
1.25664,2.37969e-4,0.182304,25.01,0.0986176,600.121,79307.0,0.793070,1.00000e-7
1.25664,2.38258e-4,0.186400,25.01,0.100361,600.121,79403.4,0.794034,1.00000e-7
1.25664,2.38019e-4,0.190496,25.01,0.102489,600.121,79323.6,0.793236,1.00000e-7
1.25664,2.37562e-4,0.194592,25.01,0.101067,600.121,79171.4,0.791714,1.00000e-7
1.25664,2.36854e-4,0.198688,25.01,0.102245,600.121,78935.4,0.789353,1.00000e-7
1.25664,2.36054e-4,0.202784,25.01,0.101707,600.121,78668.8,0.786688,1.00000e-7
1.25664,2.34570e-4,0.206880,25.01,0.0996819,600.121,78174.1,0.781741,1.00000e-7
1.25664,2.33086e-4,0.210976,25.01,0.0994949,600.121,77679.7,0.776797,1.00000e-7
1.25664,2.31038e-4,0.215072,25.01,0.102505,600.121,76997.1,0.769971,1.00000e-7
1.25664,2.28687e-4,0.219168,25.01,0.104351,600.121,76213.5,0.762135,1.00000e-7
1.25664,2.26284e-4,0.223264,25.01,0.105434,600.121,75412.9,0.754129,1.00000e-7
1.25664,2.23701e-4,0.227360,25.01,0.104237,600.121,74552.1,0.745521,1.00000e-7
1.25664,2.20983e-4,0.231456,25.01,0.100182,600.121,73646.1,0.736460,1.00000e-7
1.25664,2.18135e-4,0.235552,25.01,0.0982475,600.121,72696.9,0.726969,1.00000e-7
1.25664,2.15217e-4,0.239648,25.01,0.101131,600.121,71724.5,0.717245,1.00000e-7
1.25664,2.11920e-4,0.243744,25.01,0.104301,600.121,70625.8,0.706258,1.00000e-7
1.25664,2.08785e-4,0.247840,25.01,0.106583,600.121,69580.9,0.695809,1.00000e-7
1.25664,2.05534e-4,0.251936,25.01,0.105686,600.121,68497.7,0.684976,1.00000e-7
1.25664,2.02288e-4,0.256032,25.01,0.103016,600.086,67419.7,0.674197,1.00000e-7
1.25664,1.99072e-4,0.260128,25.01,0.103130,600.086,66347.9,0.663478,1.00000e-7
1.25664,1.96151e-4,0.264224,25.01,0.103401,600.086,65374.4,0.653744,1.00000e-7
1.25664,1.93079e-4,0.268320,25.01,0.103416,600.086,64350.6,0.643506,1.00000e-7
1.25664,1.90247e-4,0.272416,25.01,0.103474,600.086,63406.5,0.634065,1.00000e-7
1.25664,1.87565e-4,0.276512,25.01,0.103622,600.086,62512.6,0.625126,1.00000e-7
1.25664,1.84731e-4,0.280608,25.01,0.105530,600.086,61568.3,0.615683,1.00000e-7
1.25664,1.82526e-4,0.284704,25.01,0.106472,600.086,60833.2,0.608332,1.00000e-7
1.25664,1.79331e-4,0.290848,25.01,0.102554,600.086,59768.5,0.597685,1.00000e-7
1.25664,1.75482e-4,0.299040,25.01,0.102772,600.086,58485.6,0.584856,1.00000e-7
1.25664,1.72187e-4,0.307232,25.01,0.105198,600.086,57387.3,0.573873,1.00000e-7
1.25664,1.69838e-4,0.315424,25.01,0.101082,600.086,56604.4,0.566044,1.00000e-7
1.25664,1.68498e-4,0.323616,25.01,0.104855,600.086,56157.8,0.561578,1.00000e-7
1.25664,1.67949e-4,0.331808,25.01,0.107857,600.086,55975.1,0.559751,1.00000e-7
1.25664,1.68339e-4,0.340000,25.01,0.101868,600.086,56105.1,0.561051,1.00000e-7
1.25664,1.69627e-4,0.348192,25.01,0.102917,600.086,56534.3,0.565343,1.00000e-7
1.25664,1.71627e-4,0.356384,25.01,0.106812,600.086,57200.8,0.572008,1.00000e-7
1.25664,1.74553e-4,0.364576,25.01,0.105022,600.086,58176.1,0.581761,1.00000e-7
1.25664,1.78403e-4,0.372768,25.01,0.105824,600.086,59459.1,0.594591,1.00000e-7
1.25664,1.82682e-4,0.380960,25.01,0.102695,600.086,60885.4,0.608854,1.00000e-7
1.25664,1.87014e-4,0.389152,25.01,0.107395,600.086,62329.2,0.623292,1.00000e-7
1.25664,1.91651e-4,0.397344,25.01,0.110027,600.086,63874.4,0.638744,1.00000e-7
1.25664,1.96776e-4,0.405536,25.01,0.106174,600.086,65582.7,0.655827,1.00000e-7
1.25664,2.01966e-4,0.413728,25.01,0.107853,600.086,67312.3,0.673123,1.00000e-7
1.25664,2.07103e-4,0.421920,25.01,0.107834,600.086,69024.3,0.690243,1.00000e-7
1.25664,2.12436e-4,0.430112,25.01,0.106403,600.086,70802.0,0.708020,1.00000e-7
1.25664,2.17777e-4,0.438304,25.01,0.108433,600.086,72582.0,0.725820,1.00000e-7
1.25664,2.22677e-4,0.446496,25.01,0.107407,600.086,74214.9,0.742149,1.00000e-7
1.25664,2.26824e-4,0.454688,25.01,0.105980,600.066,75599.6,0.755996,1.00000e-7
1.25664,2.30535e-4,0.462880,25.01,0.105255,600.066,76836.4,0.768364,1.00000e-7
1.25664,2.33821e-4,0.471072,25.01,0.108410,600.066,77931.8,0.779318,1.00000e-7
1.25664,2.36949e-4,0.479264,25.01,0.110001,600.066,78974.1,0.789741,1.00000e-7
1.25664,2.39919e-4,0.487456,25.01,0.105370,600.066,79964.2,0.799641,1.00000e-7
1.25664,2.42055e-4,0.495648,25.01,0.107227,600.066,80676.2,0.806762,1.00000e-7
1.25664,2.43271e-4,0.503840,25.01,0.110195,600.066,81081.4,0.810814,1.00000e-7
1.25664,2.44328e-4,0.512032,25.01,0.106388,600.066,81433.8,0.814338,1.00000e-7
1.25664,2.45014e-4,0.520224,25.01,0.106724,600.066,81662.4,0.816624,1.00000e-7
1.25664,2.45209e-4,0.528416,25.01,0.112732,600.066,81727.3,0.817273,1.00000e-7
1.25664,2.44846e-4,0.536608,25.01,0.110485,600.066,81606.3,0.816063,1.00000e-7
1.25664,2.44241e-4,0.544800,25.01,0.109673,600.066,81404.6,0.814046,1.00000e-7
1.25664,2.43375e-4,0.552992,25.01,0.109913,600.066,81115.9,0.811159,1.00000e-7
1.25664,2.42267e-4,0.561184,25.01,0.114235,600.066,80746.7,0.807467,1.00000e-7
1.25664,2.41281e-4,0.569376,25.01,0.109333,600.066,80418.0,0.804180,1.00000e-7
1.25664,2.40328e-4,0.577568,25.01,0.109322,600.066,80100.4,0.801004,1.00000e-7
1.25664,2.39249e-4,0.585760,25.01,0.113110,600.066,79740.7,0.797407,1.00000e-7
